row_index,Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Count_P,Count_Cl,Count_O,Count_Si,Count_C,Count_F,Count_N,Count_S,Heteroatom_count,Topological_diameter_bonds,Longest_chain_atoms_est,MolWt,MolLogP,LogP,TPSA,TPSA_ratio,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,LabuteASA,Chi0,Chi1,Kappa1,Kappa2,FractionCSP3,RingCount,NumAromaticRings,NumAliphaticRings,MolCharge,MaxCharge,MinCharge,MeanCharge,FG_carbonyl,FG_ester,FG_amine_primary,FG_amine_secondary,FG_tertiary_amine,FG_sulfonyl,FG_thiol,FG_phosphate,FG_ether,FG_aromatic_ring,AromaticAtomCount,EState_sum,EState_mean,EState_max,EState_min,EState_std,Total_formal_charge,Num_positive_atoms,Num_negative_atoms,SASA_sum,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
4691,1.3292,461.78,31.0,3.1302e-05,CC(O)C(CN(C)C(C)(C)C)OC(=O),True,0,0,3,0,10,0,1,0,0,7.0,8,203.282,0.6390999999999998,0.6390999999999998,49.77,0.2448323019254041,1,4,5,14,85.85286480934904,11.35337115112852,6.28591092807516,13.39,5.315199752258591,0.9,0,0,0,0,0.2929958928505253,-0.4604624210143265,-0.0729121737835022,1,1,0,0,0,0,0,0,1,0,0,35.91666666666667,2.5654761904761907,10.19904053287982,-0.6481481481481486,3.2356832710090293,0,0,0,85.85286480934904,3.1303e-08,1.9818e-08,1.6744e-08,-0.6196
4692,1.3495,458.74,31.0,0.00010427,CCN(CC(CO)OC(=O))C(C)C#N,True,0,0,3,0,9,0,2,0,0,8.0,9,200.238,-0.2457200000000003,-0.2457200000000003,73.56,0.3673628382225152,1,5,7,14,83.88050237642115,10.974691494688164,6.688600470052329,12.88,7.299536745592106,0.7777777777777778,0,0,0,0,0.2929851913096261,-0.4607611089324924,-0.0682714954192552,1,1,0,0,0,0,0,0,1,0,0,40.16666666666667,2.8690476190476195,10.066521557697152,-0.5525462962962966,3.5570982098578128,0,0,0,83.88050237642115,3.6491e-08,2.1476e-08,1.8863e-08,0.10031
4693,1.4322,484.77,31.0,1.008e-05,C#CC(NC(=O)C(CO)NC(=O))C(C)(C)C,True,0,0,3,0,11,0,2,0,0,8.0,9,226.276,-0.7426000000000004,-0.7426000000000004,78.43,0.3466121020346833,3,3,5,16,95.60489988315452,12.767584713501616,7.361920532996731,14.460000000000004,6.132220337610295,0.6363636363636364,0,0,0,0,0.2454548580184728,-0.3936792244492874,-0.0785472862519447,2,0,0,2,2,0,0,0,0,0,0,46.583333333333336,2.911458333333333,11.592129629629632,-0.9623148148148156,3.87057832374644,0,0,0,95.60489988315452,7.4208e-09,3.846e-09,3.8119e-09,0.351
4694,1.3795,449.7,19.0,6.8169e-05,C=CC(CNCC(CF)O)OC(=O),True,0,0,3,0,8,1,1,0,1,9.0,10,191.202,-0.3660000000000002,-0.3660000000000002,58.56,0.3062729469357015,2,4,8,13,76.38894146470247,10.104448006685086,6.239912065068584,12.06,7.695847847550529,0.625,0,0,0,0,0.2932193627559508,-0.4589884972697646,-0.0858010664454525,1,1,0,1,1,0,0,0,1,0,0,41.16666666666666,3.1666666666666665,11.743465687200809,-1.0123181216931216,4.185032612218342,0,0,0,76.38894146470247,4.5673e-08,2.1341e-08,2.2461e-08,0.036996
4695,1.3482,475.81,19.0,6.748e-05,CCCC(C)NC(CCO)CCOC(=O),True,0,0,3,0,11,0,1,0,0,10.0,11,217.309,1.0786999999999998,1.0786999999999998,58.56,0.2694780243800303,2,4,10,15,92.00783543715032,11.518661569058182,7.239912065068585,14.390000000000002,9.926624682900304,0.9090909090909092,0,0,0,0,0.2925765026055139,-0.467837673398137,-0.0807251076996461,1,1,0,1,1,0,0,0,1,0,0,36.66666666666667,2.4444444444444446,9.976904718307589,0.1642866591080878,3.007328085221149,0,0,0,92.00783543715032,6.2187e-08,3.1051e-08,3.274e-08,0.091284
4696,1.2608,472.76,31.0,0.00011636,CCN(CCC#N)CC(O)C(C)OC(=O),True,0,0,3,0,10,0,2,0,0,10.0,11,214.265,0.14438,0.14438,73.56,0.3433131869414043,1,5,8,15,90.24544449081776,11.681798275874712,7.150595667591542,13.880000000000004,8.209994797086367,0.8,0,0,0,0,0.2929387121584065,-0.4620717687670313,-0.0675880420867926,1,1,0,0,0,0,0,0,1,0,0,41.66666666666667,2.777777777777778,10.057087686543856,-0.7140343915343921,3.5356150432945275,0,0,0,90.24544449081776,4.568e-08,3.5744e-08,2.2376e-08,0.22224
4697,1.2912,467.74,31.0,3.8299e-05,C#CCN(CC#CC)CC(CO)OC(=O),True,0,0,3,0,11,0,1,0,0,9.0,10,209.245,-0.5212000000000001,-0.5212000000000001,49.77,0.237855145881622,1,4,7,15,90.2162577074642,11.518661569058182,7.2779168675293695,13.51,9.080238565505937,0.5454545454545454,0,0,0,0,0.2929851944224422,-0.460760671107322,-0.0746145357358459,1,1,0,0,0,0,0,0,1,0,0,41.33333333333333,2.755555555555555,10.10742961073318,-0.5467535903250196,3.1118079797453246,0,0,0,90.2162577074642,2.9907e-08,2.1606e-08,2.1853e-08,-0.17814
4698,1.2669,471.73,31.0,3.4414e-05,CC(C#N)N(C)C(=O)CC(CNC(=O))O,True,0,0,3,0,9,0,3,0,0,10.0,11,213.237,-1.1461199999999994,-1.1461199999999994,93.43,0.4381509775508003,2,4,6,15,88.47834143056609,11.844934982691242,7.023274467653717,13.39,6.786432203894329,0.6666666666666666,0,0,0,0,0.2255460572019224,-0.390754630355655,-0.0689032365794388,2,0,0,1,1,0,0,0,0,0,0,46.333333333333336,3.088888888888889,11.41565192743764,-0.920330687830688,4.180510748576549,0,0,0,88.47834143056609,1.0789e-08,1.2436e-08,6.4008e-09,0.36565
4699,1.2608,472.76,31.0,7.4389e-05,CCCCN(CC#N)CC(COC(=O))O,True,0,0,3,0,10,0,2,0,0,10.0,11,214.265,0.14598,0.14598,73.56,0.3433131869414044,1,5,9,15,90.24544449081776,11.518661569058182,7.239912065068584,13.880000000000004,9.435606308498532,0.8,0,0,0,0,0.2926715295105172,-0.4650922236484061,-0.0700799370761699,1,1,0,0,0,0,0,0,1,0,0,41.33333333333333,2.755555555555555,9.893556031610686,-0.7218461829176117,3.478993235492655,0,0,0,90.24544449081776,4.218e-08,1.7687e-08,2.0868e-08,0.023458
4700,1.255,473.75,31.0,8.4942e-05,C=C(CC)C(=O)NCC(OC(=O))C(C)O,True,0,0,4,0,10,0,1,0,0,9.0,10,215.249,-0.0088,-0.0088,75.63,0.3513605173543199,2,4,7,15,89.11481239061324,11.844934982691242,7.023274467653717,13.64,7.0013137015064,0.6,0,0,0,0,0.2930141409750011,-0.4599445710060797,-0.0730758682273025,2,1,0,1,1,0,0,0,1,0,0,44.00000000000001,2.933333333333334,11.269212018140587,-0.8283408919123205,3.930508145410861,0,0,0,89.11481239061324,3.5273e-08,1.7926e-08,1.8253e-08,-0.15144
